Program,test/sample_program/basic/loop2.py,: Execution Time in,both

INTERPRETER,parse,compile_to_ir,execute
0.766282,0.000381,0.001483
0.730530,0.000347,0.001338
0.728736,0.000344,0.001569
0.825628,0.000432,0.001325
1.118104,0.000372,0.001401
0.801801,0.000330,0.001436
0.775876,0.000329,0.001457
0.736769,0.000334,0.001349
0.740974,0.000340,0.001666
0.711118,0.000337,0.001328
0.719324,0.000340,0.001541
0.734541,0.000373,0.001380
0.717759,0.000342,0.001328
0.738221,0.000331,0.001334
0.738561,0.000352,0.001387
AVG_INTERPRETER,0.772282,0.000352,0.001422

TRANSPILER,parse,transpile,unparse,execute
0.743355,0.009773,0.005601,0.003097
0.709108,0.003335,0.002672,0.002162
0.720709,0.003425,0.002793,0.002189
1.045483,0.003590,0.003618,0.004347
0.880949,0.003492,0.002862,0.002664
0.832877,0.003261,0.002849,0.002303
0.727216,0.003217,0.002654,0.002282
0.721879,0.003251,0.002725,0.002280
0.727231,0.003402,0.002786,0.002179
0.737341,0.003487,0.002741,0.002162
0.748139,0.003198,0.002677,0.002175
0.730337,0.003296,0.002679,0.002295
0.710215,0.003291,0.002669,0.002156
0.722640,0.003277,0.002776,0.002266
0.732386,0.003295,0.002616,0.002196
AVG_TRANSPIER,0.765991,0.003773,0.002981,0.001422
